INFO flower 2021-04-09 22:25:05,943 | server_ssp.py:124 | server starts round 2 for client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:25:05,943 | server_ssp.py:127 | server send FitIns(clock=2) to client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:25:07,152 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.27.32:43474
INFO flower 2021-04-09 22:25:07,166 | server_ssp.py:124 | server starts round 1 for client ipv4:10.244.27.32:43474
INFO flower 2021-04-09 22:25:07,166 | server_ssp.py:127 | server send FitIns(clock=1) to client ipv4:10.244.27.32:43474
INFO flower 2021-04-09 22:25:08,630 | server_ssp.py:148 | server receives FitRes(clock=1) from client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:25:08,642 | server_ssp.py:124 | server starts round 2 for client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:25:08,643 | server_ssp.py:127 | server send FitIns(clock=2) to client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:25:08,736 | server_ssp.py:148 | server receives FitRes(clock=1) from client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:25:08,750 | server_ssp.py:124 | server starts round 2 for client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:25:08,750 | server_ssp.py:127 | server send FitIns(clock=2) to client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:25:09,371 | server_ssp.py:148 | server receives FitRes(clock=1) from client ipv4:10.244.31.32:35566
INFO flower 2021-04-09 22:25:09,384 | server_ssp.py:124 | server starts round 2 for client ipv4:10.244.31.32:35566
INFO flower 2021-04-09 22:25:09,384 | server_ssp.py:127 | server send FitIns(clock=2) to client ipv4:10.244.31.32:35566
INFO flower 2021-04-09 22:25:10,459 | server_ssp.py:148 | server receives FitRes(clock=1) from client ipv4:10.244.43.33:52592
INFO flower 2021-04-09 22:25:10,474 | server_ssp.py:124 | server starts round 2 for client ipv4:10.244.43.33:52592
INFO flower 2021-04-09 22:25:10,474 | server_ssp.py:127 | server send FitIns(clock=2) to client ipv4:10.244.43.33:52592
INFO flower 2021-04-09 22:25:11,165 | server_ssp.py:148 | server receives FitRes(clock=2) from client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:25:11,178 | server_ssp.py:124 | server starts round 3 for client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:25:11,178 | server_ssp.py:127 | server send FitIns(clock=3) to client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:25:12,148 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.30.46:37214
INFO flower 2021-04-09 22:25:12,164 | server_ssp.py:124 | server starts round 1 for client ipv4:10.244.30.46:37214
INFO flower 2021-04-09 22:25:12,164 | server_ssp.py:127 | server send FitIns(clock=1) to client ipv4:10.244.30.46:37214
INFO flower 2021-04-09 22:25:12,859 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.29.34:43540
INFO flower 2021-04-09 22:25:12,873 | server_ssp.py:124 | server starts round 1 for client ipv4:10.244.29.34:43540
INFO flower 2021-04-09 22:25:12,873 | server_ssp.py:127 | server send FitIns(clock=1) to client ipv4:10.244.29.34:43540
INFO flower 2021-04-09 22:25:14,689 | server_ssp.py:148 | server receives FitRes(clock=1) from client ipv4:10.244.55.32:33414
INFO flower 2021-04-09 22:25:14,713 | server_ssp.py:124 | server starts round 2 for client ipv4:10.244.55.32:33414
INFO flower 2021-04-09 22:25:14,713 | server_ssp.py:127 | server send FitIns(clock=2) to client ipv4:10.244.55.32:33414
INFO flower 2021-04-09 22:25:15,753 | server_ssp.py:148 | server receives FitRes(clock=2) from client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:25:15,770 | server_ssp.py:124 | server starts round 3 for client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:25:15,770 | server_ssp.py:127 | server send FitIns(clock=3) to client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:25:16,327 | server_ssp.py:148 | server receives FitRes(clock=2) from client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:25:16,343 | server_ssp.py:124 | server starts round 3 for client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:25:16,343 | server_ssp.py:127 | server send FitIns(clock=3) to client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:25:16,579 | server_ssp.py:148 | server receives FitRes(clock=3) from client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:25:16,626 | server_ssp.py:148 | server receives FitRes(clock=1) from client ipv4:10.244.1.40:50766
INFO flower 2021-04-09 22:25:16,634 | server_ssp.py:124 | server starts round 4 for client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:25:16,636 | server_ssp.py:127 | server send FitIns(clock=4) to client ipv4:10.244.58.46:49706
