DEBUG flower 2021-04-06 10:31:21,016 | numpy_client.py:167 | fit, FitIns(clock=29)
DEBUG flower 2021-04-06 10:31:21,016 | numpy_client.py:242 | cached_clock: 24, curr_clock: 29
INFO flower 2021-04-06 10:32:22,148 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=29)
DEBUG flower 2021-04-06 10:32:23,320 | numpy_client.py:167 | fit, FitIns(clock=30)
DEBUG flower 2021-04-06 10:32:23,320 | numpy_client.py:242 | cached_clock: 24, curr_clock: 30
INFO flower 2021-04-06 10:32:23,320 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:33:12,255 | numpy_client.py:215 | read: ReadRes(clock=25)
DEBUG flower 2021-04-06 10:33:12,296 | numpy_client.py:167 | fit, FitIns(clock=30)
DEBUG flower 2021-04-06 10:33:12,296 | numpy_client.py:242 | cached_clock: 25, curr_clock: 30
INFO flower 2021-04-06 10:34:13,660 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=30)
DEBUG flower 2021-04-06 10:34:14,922 | numpy_client.py:167 | fit, FitIns(clock=31)
DEBUG flower 2021-04-06 10:34:14,922 | numpy_client.py:242 | cached_clock: 25, curr_clock: 31
INFO flower 2021-04-06 10:34:14,922 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:35:05,485 | numpy_client.py:215 | read: ReadRes(clock=26)
DEBUG flower 2021-04-06 10:35:05,526 | numpy_client.py:167 | fit, FitIns(clock=31)
DEBUG flower 2021-04-06 10:35:05,526 | numpy_client.py:242 | cached_clock: 26, curr_clock: 31
INFO flower 2021-04-06 10:36:06,156 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=31)
DEBUG flower 2021-04-06 10:36:07,398 | numpy_client.py:167 | fit, FitIns(clock=32)
DEBUG flower 2021-04-06 10:36:07,399 | numpy_client.py:242 | cached_clock: 26, curr_clock: 32
INFO flower 2021-04-06 10:36:07,399 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:36:59,467 | numpy_client.py:215 | read: ReadRes(clock=27)
DEBUG flower 2021-04-06 10:36:59,508 | numpy_client.py:167 | fit, FitIns(clock=32)
DEBUG flower 2021-04-06 10:36:59,508 | numpy_client.py:242 | cached_clock: 27, curr_clock: 32
INFO flower 2021-04-06 10:38:01,161 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=32)
DEBUG flower 2021-04-06 10:38:02,412 | numpy_client.py:167 | fit, FitIns(clock=33)
DEBUG flower 2021-04-06 10:38:02,412 | numpy_client.py:242 | cached_clock: 27, curr_clock: 33
INFO flower 2021-04-06 10:38:02,412 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:38:53,561 | numpy_client.py:215 | read: ReadRes(clock=28)
DEBUG flower 2021-04-06 10:38:53,602 | numpy_client.py:167 | fit, FitIns(clock=33)
DEBUG flower 2021-04-06 10:38:53,602 | numpy_client.py:242 | cached_clock: 28, curr_clock: 33
INFO flower 2021-04-06 10:39:54,655 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=33)
DEBUG flower 2021-04-06 10:39:55,926 | numpy_client.py:167 | fit, FitIns(clock=34)
DEBUG flower 2021-04-06 10:39:55,926 | numpy_client.py:242 | cached_clock: 28, curr_clock: 34
INFO flower 2021-04-06 10:39:55,926 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:40:48,818 | numpy_client.py:215 | read: ReadRes(clock=29)
DEBUG flower 2021-04-06 10:40:48,859 | numpy_client.py:167 | fit, FitIns(clock=34)
DEBUG flower 2021-04-06 10:40:48,859 | numpy_client.py:242 | cached_clock: 29, curr_clock: 34
INFO flower 2021-04-06 10:41:49,557 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=34)
DEBUG flower 2021-04-06 10:41:50,692 | numpy_client.py:167 | fit, FitIns(clock=35)
DEBUG flower 2021-04-06 10:41:50,693 | numpy_client.py:242 | cached_clock: 29, curr_clock: 35
INFO flower 2021-04-06 10:41:50,693 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:42:40,092 | numpy_client.py:215 | read: ReadRes(clock=30)
DEBUG flower 2021-04-06 10:42:40,133 | numpy_client.py:167 | fit, FitIns(clock=35)
DEBUG flower 2021-04-06 10:42:40,133 | numpy_client.py:242 | cached_clock: 30, curr_clock: 35
