INFO flower 2021-04-11 21:31:26,250 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=1, min_clock=2
INFO flower 2021-04-11 21:31:26,250 | server_ssp.py:153 | server updates clock. client_clocks: {'ipv4:10.244.36.35:45814': 1, 'ipv4:10.244.36.35:45822': 18, 'ipv4:10.244.49.34:37540': 3, 'ipv4:10.244.34.35:43706': 2, 'ipv4:10.244.5.63:54706': 1, 'ipv4:10.244.55.36:50524': 1, 'ipv4:10.244.55.36:50508': 1}, global_clock: 1
INFO flower 2021-04-11 21:31:26,471 | server_ssp.py:135 | server sends back ReadRes(clock=1) to client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:31:26,499 | server_ssp.py:135 | server sends back ReadRes(clock=1) to client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:31:26,521 | server_ssp.py:135 | server sends back ReadRes(clock=1) to client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:31:27,002 | server_ssp.py:135 | server sends back ReadRes(clock=1) to client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:31:30,101 | server_ssp.py:140 | server receives FitRes(clock=4) from client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:31:30,230 | server_ssp.py:116 | server starts round 5 for client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:31:30,230 | server_ssp.py:119 | server send FitIns(clock=5) to client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:31:43,123 | server_ssp.py:191 | fit progress1: (2, 190.89534378051758, 0.178, 441.67912595905364)
INFO flower 2021-04-11 21:31:43,124 | server_ssp.py:116 | server starts round 2 for client ipv4:10.244.55.36:50524
INFO flower 2021-04-11 21:31:43,124 | server_ssp.py:119 | server send FitIns(clock=2) to client ipv4:10.244.55.36:50524
INFO flower 2021-04-11 21:31:44,831 | server_ssp.py:140 | server receives FitRes(clock=2) from client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:31:44,919 | server_ssp.py:116 | server starts round 3 for client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:31:44,919 | server_ssp.py:119 | server send FitIns(clock=3) to client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:31:45,825 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.55.36:50524
INFO flower 2021-04-11 21:31:45,874 | server_ssp.py:135 | server sends back ReadRes(clock=1) to client ipv4:10.244.55.36:50524
INFO flower 2021-04-11 21:31:46,124 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:31:46,124 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=1, min_clock=2
