DEBUG flower 2021-04-11 22:00:00,060 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:00:00,084 | numpy_client.py:172 | fit, FitIns(clock=12)
DEBUG flower 2021-04-11 22:00:00,084 | numpy_client.py:260 | cached_clock: 9, curr_clock: 12
INFO flower 2021-04-11 22:00:00,084 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:00:00,100 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:02:01,749 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:02:01,782 | numpy_client.py:228 | read: ReadRes(clock=10)
DEBUG flower 2021-04-11 22:02:01,826 | numpy_client.py:172 | fit, FitIns(clock=12)
DEBUG flower 2021-04-11 22:02:01,826 | numpy_client.py:260 | cached_clock: 10, curr_clock: 12
INFO flower 2021-04-11 22:03:23,415 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=12)
DEBUG flower 2021-04-11 22:03:23,436 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:03:24,651 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:03:24,672 | numpy_client.py:172 | fit, FitIns(clock=13)
DEBUG flower 2021-04-11 22:03:24,672 | numpy_client.py:260 | cached_clock: 10, curr_clock: 13
INFO flower 2021-04-11 22:03:24,672 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:03:24,688 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:05:26,469 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:05:26,494 | numpy_client.py:228 | read: ReadRes(clock=11)
DEBUG flower 2021-04-11 22:05:26,536 | numpy_client.py:172 | fit, FitIns(clock=13)
DEBUG flower 2021-04-11 22:05:26,536 | numpy_client.py:260 | cached_clock: 11, curr_clock: 13
INFO flower 2021-04-11 22:06:49,108 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=13)
DEBUG flower 2021-04-11 22:06:49,126 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:06:50,274 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:06:50,291 | numpy_client.py:172 | fit, FitIns(clock=14)
DEBUG flower 2021-04-11 22:06:50,292 | numpy_client.py:260 | cached_clock: 11, curr_clock: 14
INFO flower 2021-04-11 22:06:50,292 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:06:50,308 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:08:45,118 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:08:45,142 | numpy_client.py:228 | read: ReadRes(clock=12)
DEBUG flower 2021-04-11 22:08:45,183 | numpy_client.py:172 | fit, FitIns(clock=14)
DEBUG flower 2021-04-11 22:08:45,183 | numpy_client.py:260 | cached_clock: 12, curr_clock: 14
INFO flower 2021-04-11 22:10:06,213 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=14)
DEBUG flower 2021-04-11 22:10:06,229 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:10:07,365 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:10:07,386 | numpy_client.py:172 | fit, FitIns(clock=15)
DEBUG flower 2021-04-11 22:10:07,386 | numpy_client.py:260 | cached_clock: 12, curr_clock: 15
INFO flower 2021-04-11 22:10:07,386 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:10:07,400 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:12:09,138 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:12:09,163 | numpy_client.py:228 | read: ReadRes(clock=13)
DEBUG flower 2021-04-11 22:12:09,204 | numpy_client.py:172 | fit, FitIns(clock=15)
DEBUG flower 2021-04-11 22:12:09,205 | numpy_client.py:260 | cached_clock: 13, curr_clock: 15
INFO flower 2021-04-11 22:13:24,910 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=15)
DEBUG flower 2021-04-11 22:13:24,930 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:13:26,581 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:13:26,602 | numpy_client.py:172 | fit, FitIns(clock=16)
DEBUG flower 2021-04-11 22:13:26,602 | numpy_client.py:260 | cached_clock: 13, curr_clock: 16
INFO flower 2021-04-11 22:13:26,602 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:13:26,616 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:15:36,236 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:15:36,261 | numpy_client.py:228 | read: ReadRes(clock=14)
DEBUG flower 2021-04-11 22:15:36,303 | numpy_client.py:172 | fit, FitIns(clock=16)
DEBUG flower 2021-04-11 22:15:36,303 | numpy_client.py:260 | cached_clock: 14, curr_clock: 16
INFO flower 2021-04-11 22:16:58,009 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=16)
DEBUG flower 2021-04-11 22:16:58,027 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:17:00,157 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:17:00,180 | numpy_client.py:172 | fit, FitIns(clock=17)
DEBUG flower 2021-04-11 22:17:00,180 | numpy_client.py:260 | cached_clock: 14, curr_clock: 17
INFO flower 2021-04-11 22:17:00,180 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:17:00,198 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:18:59,974 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:19:00,011 | numpy_client.py:228 | read: ReadRes(clock=15)
DEBUG flower 2021-04-11 22:19:00,065 | numpy_client.py:172 | fit, FitIns(clock=17)
DEBUG flower 2021-04-11 22:19:00,065 | numpy_client.py:260 | cached_clock: 15, curr_clock: 17
INFO flower 2021-04-11 22:20:19,410 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=17)
DEBUG flower 2021-04-11 22:20:19,421 | app.py:66 | Waiting for message from server...
