INFO flower 2021-04-08 06:36:38,123 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.22.37:43532
INFO flower 2021-04-08 06:36:38,127 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.18.27:39920
INFO flower 2021-04-08 06:36:38,136 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.52.27:56532
INFO flower 2021-04-08 06:36:38,146 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.40.27:44682
INFO flower 2021-04-08 06:36:38,153 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.25.37:49890
INFO flower 2021-04-08 06:36:38,159 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.31.25:37408
INFO flower 2021-04-08 06:36:38,164 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.30.35:48388
INFO flower 2021-04-08 06:36:38,175 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.52.27:56532
INFO flower 2021-04-08 06:36:38,833 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.6.47:41020
INFO flower 2021-04-08 06:36:38,838 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.6.47:41020
INFO flower 2021-04-08 06:36:39,100 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.31.25:37408
WARNING flower 2021-04-08 06:36:39,109 | server_ssp.py:169 | 10 parameter layers very similar in total 10
INFO flower 2021-04-08 06:36:39,109 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.31.25:37408
INFO flower 2021-04-08 06:36:39,109 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.31.25:37408
INFO flower 2021-04-08 06:36:39,122 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.31.25:37408
INFO flower 2021-04-08 06:36:39,122 | server_ssp.py:244 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-08 06:36:39,201 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.35.37:40150
WARNING flower 2021-04-08 06:36:39,206 | server_ssp.py:169 | 10 parameter layers very similar in total 10
INFO flower 2021-04-08 06:36:39,206 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.35.37:40150
INFO flower 2021-04-08 06:36:39,207 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.35.37:40150
INFO flower 2021-04-08 06:36:39,218 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.35.37:40150
INFO flower 2021-04-08 06:36:39,218 | server_ssp.py:244 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-08 06:36:39,460 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.48.38:38158
WARNING flower 2021-04-08 06:36:39,469 | server_ssp.py:169 | 10 parameter layers very similar in total 10
INFO flower 2021-04-08 06:36:39,469 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.48.38:38158
INFO flower 2021-04-08 06:36:39,469 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.48.38:38158
INFO flower 2021-04-08 06:36:39,476 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.40.27:44682
INFO flower 2021-04-08 06:36:39,485 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.30.35:48388
WARNING flower 2021-04-08 06:36:39,486 | server_ssp.py:169 | 10 parameter layers very similar in total 10
INFO flower 2021-04-08 06:36:39,486 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.40.27:44682
INFO flower 2021-04-08 06:36:39,486 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.40.27:44682
INFO flower 2021-04-08 06:36:39,498 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.48.38:38158
INFO flower 2021-04-08 06:36:39,499 | server_ssp.py:244 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
WARNING flower 2021-04-08 06:36:39,500 | server_ssp.py:169 | 10 parameter layers very similar in total 10
INFO flower 2021-04-08 06:36:39,500 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.30.35:48388
INFO flower 2021-04-08 06:36:39,500 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.30.35:48388
INFO flower 2021-04-08 06:36:39,508 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.40.27:44682
INFO flower 2021-04-08 06:36:39,508 | server_ssp.py:244 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-08 06:36:39,509 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.52.27:56532
INFO flower 2021-04-08 06:36:39,518 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.30.35:48388
INFO flower 2021-04-08 06:36:39,518 | server_ssp.py:244 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-08 06:36:39,518 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.4.47:45808
WARNING flower 2021-04-08 06:36:39,519 | server_ssp.py:169 | 10 parameter layers very similar in total 10
INFO flower 2021-04-08 06:36:39,519 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.52.27:56532
INFO flower 2021-04-08 06:36:39,520 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.52.27:56532
WARNING flower 2021-04-08 06:36:39,533 | server_ssp.py:169 | 10 parameter layers very similar in total 10
INFO flower 2021-04-08 06:36:39,533 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.4.47:45808
INFO flower 2021-04-08 06:36:39,533 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.4.47:45808
INFO flower 2021-04-08 06:36:39,538 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.52.27:56532
INFO flower 2021-04-08 06:36:39,538 | server_ssp.py:244 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-08 06:36:39,546 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.4.47:45808
INFO flower 2021-04-08 06:36:39,546 | server_ssp.py:244 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-08 06:36:39,584 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.43.26:53654
WARNING flower 2021-04-08 06:36:39,592 | server_ssp.py:169 | 10 parameter layers very similar in total 10
INFO flower 2021-04-08 06:36:39,592 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.43.26:53654
INFO flower 2021-04-08 06:36:39,593 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.43.26:53654
INFO flower 2021-04-08 06:36:39,606 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.43.26:53654
INFO flower 2021-04-08 06:36:39,606 | server_ssp.py:244 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-08 06:36:39,624 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.50.35:45126
WARNING flower 2021-04-08 06:36:39,632 | server_ssp.py:169 | 10 parameter layers very similar in total 10
INFO flower 2021-04-08 06:36:39,633 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.50.35:45126
INFO flower 2021-04-08 06:36:39,633 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.50.35:45126
INFO flower 2021-04-08 06:36:39,648 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.50.35:45126
INFO flower 2021-04-08 06:36:39,648 | server_ssp.py:244 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-08 06:36:39,649 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.3.46:59538
