INFO flower 2021-04-10 16:05:39,406 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=12)
DEBUG flower 2021-04-10 16:05:39,406 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:05:39,430 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:05:39,430 | numpy_client.py:172 | fit, FitIns(clock=13)
DEBUG flower 2021-04-10 16:05:39,430 | numpy_client.py:260 | cached_clock: 10, curr_clock: 13
INFO flower 2021-04-10 16:05:39,430 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:05:39,431 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:07:01,233 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:07:01,234 | numpy_client.py:228 | read: ReadRes(clock=11)
DEBUG flower 2021-04-10 16:07:01,306 | numpy_client.py:172 | fit, FitIns(clock=13)
DEBUG flower 2021-04-10 16:07:01,306 | numpy_client.py:260 | cached_clock: 11, curr_clock: 13
INFO flower 2021-04-10 16:07:04,536 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=13)
DEBUG flower 2021-04-10 16:07:04,537 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:07:04,559 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:07:04,559 | numpy_client.py:172 | fit, FitIns(clock=14)
DEBUG flower 2021-04-10 16:07:04,559 | numpy_client.py:260 | cached_clock: 11, curr_clock: 14
INFO flower 2021-04-10 16:07:04,560 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:07:04,560 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:08:31,342 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:08:31,343 | numpy_client.py:228 | read: ReadRes(clock=12)
DEBUG flower 2021-04-10 16:08:31,350 | numpy_client.py:172 | fit, FitIns(clock=14)
DEBUG flower 2021-04-10 16:08:31,350 | numpy_client.py:260 | cached_clock: 12, curr_clock: 14
INFO flower 2021-04-10 16:08:34,716 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=14)
DEBUG flower 2021-04-10 16:08:34,716 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:08:34,743 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:08:34,743 | numpy_client.py:172 | fit, FitIns(clock=15)
DEBUG flower 2021-04-10 16:08:34,743 | numpy_client.py:260 | cached_clock: 12, curr_clock: 15
INFO flower 2021-04-10 16:08:34,743 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:08:34,743 | app.py:66 | Waiting for message from server...
